Stn_Name,Sampled,Depth,Lat,Long
CTD001,CTD_Profile,10.3,64.12844167,-83.13893333
CTD002,CTD_Profile,20.4,64.08408333,-83.19393333
CTD003,CTD_Profile,29.7,64.064625,-83.2497
CTD004,CTD_Profile,32.4,64.03284167,-83.30611667
CTD005,CTD_Profile,28.7,63.9503,-83.2932
CTD006,CTD_Profile,47.5,63.86686667,-83.28125
CTD007,CTD_Profile,47.5,63.82433333,-83.27454167
CTD008,CTD_Profile,54.5,63.786125,-83.25918333
CTD009,CTD_Profile,71.9,63.70404167,-83.22435833
CTD010,CTD_Profile,85.9,63.61436667,-83.22671667
CTD011,CTD_Profile,100,63.53425,-83.2121
CTD012,CTD_Profile,113,63.44733333,-83.19898333
STNBI,Dive,10,64.01936667,-83.22021667
STNBI,Dive,15,64.01936667,-83.22021667
STN03 ,Rosette_CTD, Dive, Midwater_Trawl, Benthic_Trawl, Phyto_Net, Zoo_Net_vert, Zoo_Net_Bongo, Box_Core, Ponar,97.59375,63.71595208,-83.24629167
CTD013,CTD_Profile,12.4,63.63496667,-82.35235
CTD014,CTD_Profile,65.4,63.55760833,-82.297625
CTD015,CTD_Profile,94.3,63.50533333,-82.21290833
CTD016,CTD_Profile,102,63.423575,-82.178525
CTD017 ,CTD_Profile,122,63.36178333,-82.12765833
CTD018,CTD_Profile,163,63.2681,-82.070675
CTD019,CTD_Profile,193,63.20045,-82.03919167
CTD020,CTD_Profile,218,63.1224,-81.99368333
CTD021,CTD_Profile,224,63.041975,-81.94170833
CTD022,CTD_Profile,206,62.96464167,-81.83030833
STN04,Box_Core,217.5,63.146,-82.00901042
STN05,Rosette_CTD, Dive, Midwater_Trawl, Benthic_Trawl, Phyto_Net, Zoo_Net_vert, Zoo_Net_Bongo, Ponar,41.2,63.23952389,-85.7330325
CTD023,CTD_Profile,42,63.25031667,-85.73861667
CTD024,CTD_Profile,18.3,63.22838333,-85.68838333
CTD025,CTD_Profile,54.1,63.26290833,-85.90035833
CTD026,CTD_Profile,51.9,63.28950833,-86.07543333
CTD027,CTD_Profile,47.9,63.31449167,-86.244525
CTD028,CTD_Profile,41.9,63.37888333,-86.41820833
CTD029,CTD_Profile,38.6,63.365825,-86.59668333
CTD030,CTD_Profile,30.1,63.39150833,-86.76658333
CTD031,CTD_Profile,23.3,63.4342,-86.47626667
CTD032,CTD_Profile,14.3,63.44293333,-87.10886667
CTD033,CTD_Profile,10.2,63.451075,-87.28298333
CTD034,CTD_Profile,21.6,63.4787,-87.36611667
CTD035,CTD_Profile,17.1,63.52693333,-87.3828
CTD036 ,CTD_Profile,38.6,63.583575,-87.43005833
CTD037,CTD_Profile,42.3,63.69259167,-87.443725
CTD038,CTD_Profile,43.9,63.69291667,-87.44506667
STN06,Rosette_CTD, Dive, Midwater_Trawl, Benthic_Trawl, Phyto_Net, Zoo_Net_vert, Zoo_Net_Bongo, Ponar,43.83809524,63.67789444,-87.45010675
CTD039,CTD_Profile,13,63.70384167,-87.32260833
CTD040 ,CTD_Profile,113,63.714,-88.424425
STN07,Rosette_CTD, Midwater_Trawl, Benthic_Trawl, Phyto_Net, Zoo_Net_vert, Zoo_Net_Bongo, Box_Core, Ponar,118.96875,63.70970076,-88.4162598
MOR01,Mooring,115,63.7122,-88.42018333
CTD041,CTD_Profile,25.9,63.9878,-88.43114167
CTD042,CTD_Profile,54.5,63.941025,-88.26955833
CTD043,CTD_Profile,108,63.895175,-88.11455833
CTD044,CTD_Profile,142,63.848175,-87.95521667
CTD045,CTD_Profile,159,63.80223333,-87.80241667
CTD046,CTD_Profile,116,63.75395,-87.64206667
CTD047,CTD_Profile,53.6,63.7055,-87.505025
CTD048,CTD_Profile,13.7,63.65881667,-87.33496667
CTD049,CTD_Profile,37.9,64.33895833,-86.50075833
STN08,Rosette_CTD, Dive, Midwater_Trawl, Benthic_Trawl, Phyto_Net, Zoo_Net_vert, Zoo_Net_Bongo, Ponar,37.91428571,64.33803571,-86.50843274
CTD050,CTD_Profile,16.6,64.31801667,-86.41523333
CTD051,CTD_Profile,64.5,64.355,-86.583925
CTD052,CTD_Profile,107,64.39188333,-86.75631667
CTD053 ,CTD_Profile,108,64.42756667,-86.9276
CTD054,CTD_Profile,107,64.46505,-87.100325
CTD055,CTD_Profile,60.2,64.50179167,-87.273175
CTD056,CTD_Profile,28.7,64.53986667,-87.44869167
CTD057,CTD_Profile,12.9,64.55295,-87.50466667
CTD058 ,CTD_Profile,101,64.386375,-86.717425
STN09,Rosette_CTD, Midwater_Trawl, Benthic_Trawl, Zoo_Net_vert, Zoo_Net_Bongo, Ponar,99.675,64.39187118,-86.77878798
CTD059,CTD_Profile,15,65.03835,-86.92689167
CTD060 ,CTD_Profile,28,65.02861667,-86.83704167
CTD061,CTD_Profile,56,65.01860833,-86.73985833
CTD062,CTD_Profile,59,65.00909167,-86.644775
CTD063,CTD_Profile,82,64.9968,-86.54706667
CTD064,CTD_Profile,70,64.99183333,-86.44991667
CTD065,CTD_Profile,60,64.981325,-86.356875
CTD066,CTD_Profile,51,64.972075,-86.27519167
CTD067,CTD_Profile,20,64.96965833,-86.24881667
CTD068,CTD_Profile,36.6,64.97049167,-86.26563333
STN10,Rosette_CTD, Dive, Midwater_Trawl, Benthic_Trawl, Phyto_Net, Zoo_Net_vert, Zoo_Net_Bongo, Box_Core, Ponar,39.46875,64.97232135,-86.26847448
STN11,Rosette_CTD, Midwater_Trawl, Benthic_Trawl, Zoo_Net_vert, Zoo_Net_Bongo, Box_Core, Ponar,90.9,64.85320119,-86.54218899
CTD069,CTD_Profile,15.1,65.98361667,-85.9934
CTD070,CTD_Profile,32.7,65.9726,-85.96665
CTD071,CTD_Profile,44.8,65.93748333,-85.90821667
CTD072,CTD_Profile,54.2,65.94245,-85.829475
CTD073,CTD_Profile,85.2,65.925675,-85.75931667
CTD074 ,CTD_Profile,51.3,65.9084,-85.69099167
CTD075,CTD_Profile,29,65.893075,-85.6646
STN12,Rosette_CTD, Dive, Midwater_Trawl, Benthic_Trawl, Phyto_Net, Zoo_Net_vert, Zoo_Net_Bongo, Box_Core, Ponar,86.3625,65.91459323,-85.76836979
CTD076,CTD_Profile,16,65.983525,-85.99620833
CTD077,CTD_Profile,32.9,65.97680833,-85.96965833
CTD078,CTD_Profile,47.1,65.958825,-85.90260833
CTD079,CTD_Profile,55.5,65.93815833,-85.82399167
CTD080,CTD_Profile,87,65.92229167,-85.76185
CTD081,CTD_Profile,51.9,65.90723333,-85.69375833
CTD082,CTD_Profile,30.6,65.89164167,-85.668225
CTD083,CTD_Profile,83.4,66.06653333,-85.63023333
CTD084,CTD_Profile,209,66.23003333,-85.54675
CTD085,CTD_Profile,177,66.27384167,-85.82375833
CTD086 ,CTD_Profile,183,66.31533333,-86.11018333
STN13,Rosette_CTD, Dive, Midwater_Trawl, Benthic_Trawl, Phyto_Net, Zoo_Net_vert, Zoo_Net_Bongo, Box_Core, Gravity_Core,192.9875,66.30106646,-86.10381771
CTD088,CTD_Profile,41,66.477875,-86.23189167
CTD089,CTD_Profile,136,66.39408333,-85.86329167
CTD090,CTD_Profile,162,66.30303333,-85.53108333
CTD91,CTD_Profile,97.6,66.20360833,-85.18255833
CTD092,CTD_Profile,235,66.11758333,-84.86574167
CTD094,CTD_Profile,94.2,66.01875,-84.49543333
CTD095,CTD_Profile,115,65.98930833,-84.40388333
CTD096,CTD_Profile,108,65.97571667,-84.4703
CTD097,CTD_Profile,197,65.960425,-84.54299167
CTD098,CTD_Profile,176,65.94416667,-84.61456667
CTD099,CTD_Profile,123,65.92531667,-84.69828333
STN14,Rosette_CTD, Dive, Phyto_Net, Zoo_Net_vert, Zoo_Net_Bongo, Box_Core, Ponar,251.6666667,65.93566644,-84.71861644
CTD100,CTD_Profile,146,65.936175,-84.70420833
CTD101,CTD_Profile,176,65.94608333,-84.61764167
CTD103,CTD_Profile,148,65.96006667,-84.54880833
CTD104,CTD_Profile,110,65.97645833,-84.46955833
CTD105,CTD_Profile,128,65.98941667,-84.40681667
CTD106,CTD_Profile,282,65.90593333,-84.41066667
CTD107,CTD_Profile,105,65.81568333,-84.41970833
CTD108,CTD_Profile,420,65.73955833,-84.42635
STN14b,CTD_Profile,422.5,65.7627375,-84.42009583
CTD109,CTD_Profile,242,65.60600833,-84.43825
CTD110,CTD_Profile,300,65.57609167,-84.43898333
CTD111,CTD_Profile,200,65.501825,-84.45049167
CTD112,CTD_Profile,180,65.47251667,-84.45335
STN15,Rosette_CTD, Midwater_Trawl, Benthic_Trawl, Phyto_Net, Zoo_Net_vert, Zoo_Net_Bongo, Box_Core, Gravity_Core,197.9166667,65.4990276,-84.76458108
CTD113,CTD_Profile,65,65.4823,-84.53703333
CTD114,CTD_Profile,351,65.51488333,-84.55859167
CTD115,CTD_Profile,185,65.55696667,-84.58093333
CTD116,CTD_Profile,31,65.58251667,-84.60055
CTD117,CTD_Profile,266,65.58604167,-84.51589167
CTD118,CTD_Profile,128,65.59048333,-84.43680833
CTD119,CTD_Profile,239,65.59384167,-84.35639167
CTD120,CTD_Profile,290,65.59905,-84.276675
CTD121,CTD_Profile,319,65.60435,-84.193675
STN15b,CTD_Profile,313.5,65.6052,-84.18308333
CTD122,CTD_Profile,230,65.60864167,-84.11680833
CTD123,CTD_Profile,224,65.61324167,-84.03816667
CTD124 ,CTD_Profile,137,65.60701667,-83.9596
CTD125,CTD_Profile,55,65.62069167,-83.919775
CTD126,CTD_Profile,52,65.62521667,-83.803175
CTD127,CTD_Profile,89,65.62945833,-83.7235
CTD128,CTD_Profile,319,65.48256667,-83.69648333
CTD129,CTD_Profile,345,65.33685,-83.49914167
CTD130,CTD_Profile,350,65.21273333,-83.24395
STN15,Rosette_CTD, Midwater_Trawl, Phyto_Net, Zoo_Net_vert, Zoo_Net_Bongo, Box_Core, Gravity_Core,324.8571429,65.10478909,-83.14016548
CTD131,CTD_Profile,315,65.05321667,-83.13091667
CTD132,CTD_Profile,178,64.92218333,-82.989025
STN17,Rosette_CTD, Dive, Midwater_Trawl, Benthic_Trawl, Phyto_Net, Zoo_Net_vert, Zoo_Net_Bongo, Box_Core,162.7857143,64.93005298,-83.0119869
CTD133,CTD_Profile,275,64.93014167,-82.46220833
CTD134,CTD_Profile,272,64.825775,-82.14179167
CTD135,CTD_Profile,265,64.72269167,-81.82795
CTD136,CTD_Profile,272,64.61614167,-81.52406667
STN18,Rosette_CTD, Midwater_Trawl, Phyto_Net, Zoo_Net_vert, Zoo_Net_Bongo, Box_Core,299.3333333,64.51488426,-81.25485093
CTD137,CTD_Profile,293,64.434875,-81.20459167
CTD138,CTD_Profile,310,64.35259167,-81.181225
CTD139,CTD_Profile,303,64.27168333,-81.15350833
CTD140,CTD_Profile,125,64.1899,-81.12529167
CTD141,CTD_Profile,46.6,64.10749167,-81.095375
CTD142 ,CTD_Profile,76.3,64.05466667,-81.07869167
CTD143,CTD_Profile,29.6,64.02203333,-81.00323333
STNEB,Dive, Box_Core, Gravity_Core,71.1375,64.05515104,-81.06956979
CTD144,CTD_Profile,195,64.1647,-80.96606667
CTD145,CTD_Profile,329,64.21311667,-80.85161667
CTD146,CTD_Profile,330,64.25731667,-80.74595
CTD147,CTD_Profile,337,64.30125833,-80.647625
CTD148,CTD_Profile,331,64.18385833,-80.3356
CTD149,CTD_Profile,320,64.04603333,-79.954875
CTD150 ,CTD_Profile,324,63.948625,-79.70995833
CTD151,CTD_Profile,289,63.869225,-79.87295
STN19,Rosette_CTD, Midwater_Trawl, Phyto_Net, Zoo_Net_vert, Zoo_Net_Bongo, Box_Core,325.4444444,63.94376042,-79.68870324
STN20,Rosette_CTD, Dive, Midwater_Trawl, Benthic_Trawl, Zoo_Net_vert, Zoo_Net_Bongo, Box_Core,151.1666667,63.79415764,-80.09098403
CTD152,CTD_Profile,227,63.711725,-79.71676667
CTD153 ,CTD_Profile,159,63.639875,-79.40183333
CTD154,CTD_Profile,203,63.55711667,-79.07936667
CTD155,CTD_Profile,150,63.47905833,-78.746875
CTD156,CTD_Profile,36.2,63.42955,-78.570425
CTD157,CTD_Profile,159,63.43481667,-78.92601667
CTD158,CTD_Profile,218,63.437325,-79.299875
CTD159,CTD_Profile,205,63.45319167,-79.44470833
STNNS,Box_Core,218.5,63.44332083,-79.29735833
STNNS2,Box_Core, Gravity_Core,203.25,63.45461875,-79.44476458
STNLP,Box_Core,67,63.45480833,-80.77919167
CTD160,CTD_Profile,195,63.441675,-79.66441667
CTD161,CTD_Profile,172,63.4448,-80.04155
CTD161,CTD_Profile,99,63.4492,-80.41469167
CTD162,CTD_Profile,69,63.45331667,-80.78405
STN21,Rosette_CTD, Dive, Midwater_Trawl, Benthic_Trawl, Phyto_Net, Zoo_Net_vert, Zoo_Net_Bongo, Ponar,34.28571429,63.48613452,-80.85556071
CTD163,CTD_Profile,57,63.419725,-80.99629167
CTD164,CTD_Profile,103,63.35036667,-81.124925
CTD165,CTD_Profile,137,63.288925,-81.25011667
CTD166,CTD_Profile,157,63.22809167,-81.37395833
CTD167,CTD_Profile,193,63.16756667,-81.554625
CTD168 ,CTD_Profile,216,63.1065,-81.627375
CTD169,CTD_Profile,220,63.04615833,-81.75258333
CTD170,CTD_Profile,200,62.974175,-81.89355833
CTD171,CTD_Profile,225,63.03893333,-81.93371667
STN22,CTD_Profile, Rosette_CTD, Dive, Midwater_Trawl, Benthic_Trawl, Phyto_Net, Zoo_Net_vert, Zoo_Net_Bongo,216.7,63.1191025,-81.95972167
CTD172,CTD_Profile,186,63.19955,-82.02945833
CTD173,CTD_Profile,161,63.26865833,-82.071125
CTD174 ,CTD_Profile,119,63.36255833,-82.12951667
CTD175 ,CTD_Profile,103,63.44373333,-82.1785
STN23,Rosette_CTD, Benthic_Trawl, Zoo_Net_vert, Zoo_Net_Bongo,96.65,63.52091771,-82.21893958
STN24,Midwater_Trawl, Benthic_Trawl, Phyto_Net, Zoo_Net_vert, Zoo_Net_Bongo, Ponar,36.32777778,63.90167222,-83.54413981
CTD176,CTD_Profile,34.6,63.898775,-83.53705833
CTD177,CTD_Profile,125,62.92178333,-83.76288333
CTD178,CTD_Profile,128,62.94500833,-83.97543333
CTD179,CTD_Profile,127,62.95828333,-84.18611667
CTD180,CTD_Profile,117,62.988225,-84.39638333
STNCN,Box_Core,127,62.96198333,-84.18036667
CTD181,CTD_Profile,102,63.01036667,-84.609075
CTD182,CTD_Profile,69,63.03406667,-84.827625
CTD183 ,CTD_Profile,30.8,63.05895,-85.03963333
STN25,Rosette_CTD, Dive, Benthic_Trawl, Phyto_Net, Zoo_Net_vert, Zoo_Net_Bongo, Box_Core, Ponar,27.67857143,63.55578452,-84.1708125
CTD184,CTD_Profile,92.6,63.26679167,-83.68598333
STNWI,Box_Core,94.25,63.26595,-83.690475
STNWI,Ponar,95,63.26482917,-83.69614167
CTD185,CTD_Profile,109,63.31941667,-83.54556667
STNW12,Box_Core,112,63.317325,-83.54936667
CTD186 ,CTD_Profile,110,63.3745,-83.396575
STNW13,Box_Core,110,63.37293333,-83.4022125
CTD187,CTD_Profile,107,63.40539167,-92.45548333
CTD188,CTD_Profile,110,63.42801667,-83.24974167
CTD189,CTD_Profile,97.3,63.53579167,-83.209025
CTD190,CTD_Profile,81.4,63.61568333,-83.22486667
CTD191,CTD_Profile,70.5,63.70125833,-83.24424167
CTD192,CTD_Profile,55.9,63.7862,-83.257925
CTD193,CTD_Profile,51.7,63.82265,-83.26919167
STN26,Rosette_CTD, Midwater_Trawl, Benthic_Trawl, Phyto_Net, Zoo_Net_vert, Zoo_Net_Bongo, Box_Core, Ponar,50.3484375,63.82511029,-83.32454818
CTD194,CTD_Profile,48.4,63.86653333,-83.277625
CTD195,CTD_Profile,32.2,63.94980833,-83.29096667
CTD196,CTD_Profile,31.8,64.032425,-83.30163333
CTD197,CTD_Profile,29.1,64.0632,-83.25638333
CTD198,CTD_Profile,20,64.0878,-83.197625
CTD199,CTD_Profile,8.3,64.13094167,-83.1452
